method,sent_incl,weighted,strategy,cluster_break_rate,edge_cut_rate,entity_concentration
chunks_baseline_100_tok,—,—,—,0.6495,0.7957,0.4444
chunks_baseline_258_tok,—,—,—,0.4157,0.6416,0.4368
most_recent,full_sentence_excluded,unweighted,conservative_258,0.3196,0.5767,0.4221
most_recent,full_sentence_excluded,weighted,conservative_258,0.3254,0.5784,0.4265
most_recent,full_sentence_excluded,unweighted,liberal,0.3306,0.5666,0.4564
most_recent,full_sentence_excluded,weighted,liberal,0.3317,0.5689,0.4575
most_recent,full_sentence_included,unweighted,liberal,0.348,0.5721,0.4426
most_recent,full_sentence_included,unweighted,conservative_258,0.3504,0.5822,0.4271
most_recent,full_sentence_included,weighted,liberal,0.3522,0.5725,0.4405
most_recent,full_sentence_included,weighted,conservative_258,0.3568,0.5844,0.4242
most_recent_low_accessible,full_sentence_excluded,weighted,liberal,0.3708,0.5847,0.4308
most_recent_low_accessible,full_sentence_excluded,unweighted,liberal,0.3709,0.5866,0.433
most_recent_low_accessible,full_sentence_included,weighted,liberal,0.3806,0.5886,0.4213
most_recent_low_accessible,full_sentence_included,unweighted,liberal,0.3831,0.5898,0.4206
most_recent_low_accessible,full_sentence_excluded,weighted,conservative_258,0.3836,0.6051,0.4191
most_recent_low_accessible,full_sentence_included,weighted,conservative_258,0.3837,0.5996,0.4109
most_recent_low_accessible,full_sentence_included,unweighted,conservative_258,0.3838,0.6007,0.4098
most_recent_low_accessible,full_sentence_excluded,unweighted,conservative_258,0.3848,0.6057,0.4191
